"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.Name","INDICATOR.Name","FREQUENCY.Name","SCALE.Name","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029"
"IMF.FAD:FM(2.0.0)","AGO.GGCB_G01_PGDP_PT.A","OBS_VALUE","Angola","Cyclically adjusted balance, Percent of potential GDP","Annual","Units","","","","","","","","","","","","","-8.475862169","0.29741111","3.231804699","4.521457515","-1.243112967","-17.89725585","-6.508905032","-0.160673662","0.0718","-3.981412031","-5.762464243","-8.543470493","-0.910335216","-2.565903555","-4.520393099","3.284789811","1.892496554","1.068979003","4.116846057","0.834756666","0.443705246","2.054298918","2.561817672","2.371187642","2.641313932","1.726400425","0.917623297"
"IMF.FAD:FM(2.0.0)","AGO.GGR_G01_GDP_PT.A","OBS_VALUE","Angola","Revenue, General government, Percent of GDP","Annual","Units","","","","","","","34.88174799","27.62929457","41.12783285","42.85765488","37.46333886","28.68055552","29.7152736","30.9867206","33.69724656","40.02674136","42.44046837","48.43085888","37.10967324","42.78938931","45.48305502","41.34007069","36.74579323","30.73641479","24.1338641","17.52293952","17.51646565","22.86569875","21.17881885","21.34549553","23.30700426","23.22206195","20.01910968","20.83325247","20.10498385","19.35598123","18.44093695","17.90692813","16.29821451"
"IMF.FAD:FM(2.0.0)","AGO.GGXCNL_G01_GDP_PT.A","OBS_VALUE","Angola","Net lending (+) / net borrowing (-), Percent of GDP","Annual","Units","","","","","","","-0.304461474","-6.709324933","-10.64460822","2.289322438","3.176461513","-2.54244693","-4.684639627","1.183548751","7.17049401","9.422799441","4.311929563","-4.235149508","-7.89737672","3.394898885","8.081202716","4.131198072","-0.303788881","-5.720349848","-2.91724083","-4.520203839","-6.58631724","2.286937801","0.775834965","-1.931231857","3.830427117","0.675370754","-0.101144363","2.725573059","3.143393089","2.564284747","2.561250126","1.463825527","0.566595424"
"IMF.FAD:FM(2.0.0)","AGO.GGXONLB_G01_GDP_PT.A","OBS_VALUE","Angola","Primary net lending (+) / net borrowing (-), Percent of GDP","Annual","Units","","","","","","","5.447650697","0.227086988","-3.256768001","6.725253311","7.249711943","-0.208215357","-3.254659168","3.104108542","8.678218122","10.68981436","5.383746535","-2.388850778","-6.048178652","4.557450045","8.982535041","4.992426899","0.447290616","-4.676668926","-1.136135552","-1.677833131","-2.963356159","7.023645126","6.356315434","5.029123495","9.001727351","4.686647507","5.455756391","8.008220661","8.302889916","7.540722859","6.567600177","6.068557328","4.540904005"
"IMF.FAD:FM(2.0.0)","AGO.G_XWDG_G01_GDP_PT.A","OBS_VALUE","Angola","Gross debt, Percent of GDP","Annual","Units","","","","","","","","","","","113.5045839","73.73617503","57.96783968","47.7170673","33.46404183","18.72879033","21.04349445","31.37823243","56.30224695","37.16284025","29.55771502","26.69055968","33.14910364","39.80985691","57.09304822","75.66263732","69.32286758","92.99500121","113.5541748","138.7084909","83.73391424","64.84030648","84.47152473","70.34232611","61.75538682","54.75858298","48.21873485","43.97879988","41.25896835"
"IMF.FAD:FM(2.0.0)","AGO.G_X_G01_GDP_PT.A","OBS_VALUE","Angola","Expenditure, Percent of GDP","Annual","Units","","","","","","","35.18620946","34.33861951","51.77244107","40.56833244","34.28687735","31.22300245","34.39991323","29.80317185","26.52675255","30.60394192","38.1285388","52.66600839","45.00704996","39.39449042","37.4018523","37.20887261","37.04958211","36.45676464","27.05110493","22.04314336","24.10278289","20.57876095","20.40298389","23.27672739","19.47657714","22.5466912","20.12025405","18.10767942","16.96159076","16.79169648","15.87968682","16.44310261","15.73161909"
"IMF.FAD:FM(2.0.0)","ALB.GGR_G01_GDP_PT.A","OBS_VALUE","Albania","Revenue, General government, Percent of GDP","Annual","Units","","","","","","","","26.82573872","28.26607429","26.06593425","25.84784194","25.32297457","24.67385439","24.99206444","25.43420768","25.928","26.12987631","26.842287","26.09299984","25.8665269","25.40695694","24.7885036","23.97749476","26.27161067","26.43999403","27.64188583","27.75601551","27.45651678","27.20893457","25.8527375","27.52710954","26.78666054","27.91866074","27.71730698","27.43479475","27.6387113","27.65503955","27.70580756","27.68992656"
"IMF.FAD:FM(2.0.0)","ALB.GGXCNL_G01_GDP_PT.A","OBS_VALUE","Albania","Net lending (+) / net borrowing (-), Percent of GDP","Annual","Units","","","","","","","","-9.925556476","-8.841427942","-7.772064132","-6.83716591","-6.211610794","-5.006109116","-5.162748126","-3.457787955","-3.263216216","-3.179136855","-4.884198091","-6.586478234","-3.520121859","-3.516311953","-3.440600383","-5.215218883","-5.457544155","-4.317810633","-1.497589914","-1.405554028","-1.620354385","-1.866473994","-6.699743741","-4.596993433","-3.658240487","-1.139956702","-2.163430311","-2.574635022","-2.667419778","-2.573368206","-2.652444414","-2.668325416"
"IMF.FAD:FM(2.0.0)","ALB.GGXONLB_G01_GDP_PT.A","OBS_VALUE","Albania","Primary net lending (+) / net borrowing (-), Percent of GDP","Annual","Units","","","","","","","","-0.862726118","-1.128542698","-1.871685957","-2.645210479","-2.155485942","-0.605626788","-1.309598772","-0.221017606","-0.398019568","-0.535072779","-1.987255638","-3.413110447","-0.163998619","-0.354522115","-0.327045623","-2.005344035","-2.585411494","-1.623616628","0.964855853","0.651897557","0.61051929","0.210643362","-4.612044861","-2.667140064","-1.805214074","0.925106183","0.356068863","-0.00303","0.0307","0.02799867","-0.024163551","-0.04"
"IMF.FAD:FM(2.0.0)","ALB.GGXWDN_G01_GDP_PT.A","OBS_VALUE","Albania","Net debt, Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","60.57722759","68.24631121","65.53625711","68.80165806","69.84618728","65.50525017","61.48061703","60.49594329","69.74435699","66.33640799","59.11979081","52.48163595","51.04943678","50.13248006","49.39563674","48.6299986","47.98782248","48.67754666"
"IMF.FAD:FM(2.0.0)","ALB.G_XWDG_G01_GDP_PT.A","OBS_VALUE","Albania","Gross debt, Percent of GDP","Annual","Units","","","","","","","","71.18368329","68.18264192","63.76868358","60.61278195","64.09691558","60.24456153","57.47427086","58.20335897","56.68810624","53.55030323","55.13980555","59.66648297","57.71955223","59.41262647","62.14446707","70.39106314","71.99229983","73.7163356","73.32440975","71.89478287","69.47204348","67.36766911","75.77230269","75.21774086","65.54552605","60.01931963","58.02178299","57.02433122","56.47324768","55.8272586","54.73397483","55.31985736"
"IMF.FAD:FM(2.0.0)","ALB.G_X_G01_GDP_PT.A","OBS_VALUE","Albania","Expenditure, Percent of GDP","Annual","Units","","","","","","","","36.7512952","37.10750224","33.83799839","32.68500785","31.53458537","29.67996351","30.15481257","28.89199563","29.19121622","29.30901316","31.72648509","32.67947807","29.38664876","28.92326889","28.22910398","29.19271364","31.72915482","30.75780466","29.13947574","29.16156954","29.07687116","29.07540857","32.55248124","32.12410297","30.44490103","29.05861744","29.88073729","30.00942978","30.30613108","30.22840775","30.35825198","30.35825198"
"IMF.FAD:FM(2.0.0)","AND.GGR_G01_GDP_PT.A","OBS_VALUE","Andorra, Principality of","Revenue, General government, Percent of GDP","Annual","Units","","","","","","","","","","","","25.97747896","25.97996517","25.54509321","23.30526834","23.75321027","24.7739962","26.26880641","26.40617322","28.50093712","29.51401045","32.28169269","35.32265007","33.80494487","34.98236542","38.63573453","38.19028748","38.60074544","38.15028132","41.26997566","37.87742449","39.73114438","38.75838012","38.46966937","39.43431828","39.46493735","39.48809243","39.56124573","39.62925945"
"IMF.FAD:FM(2.0.0)","AND.GGXCNL_G01_GDP_PT.A","OBS_VALUE","Andorra, Principality of","Net lending (+) / net borrowing (-), Percent of GDP","Annual","Units","","","","","","","","","","","","0.977651404","1.764419603","1.854838389","-0.0814","-1.435979671","-2.828197901","-3.191714902","-3.509616299","-0.34865241","0.404676959","-1.653065153","3.360411427","2.142889023","1.653796916","4.06812433","3.33796362","2.670696669","2.305909298","-1.065701837","-1.166473767","4.842524232","2.235122342","2.281986968","2.643735034","2.654689941","2.577688019","2.508553243","2.636635194"
"IMF.FAD:FM(2.0.0)","AND.G_XWDG_G01_GDP_PT.A","OBS_VALUE","Andorra, Principality of","Gross debt, Percent of GDP","Annual","Units","","","","","","","","","","","","15.26559226","15.16327438","15.10484352","14.76024055","17.16470729","20.87216087","27.74857848","33.511668","35.01965561","36.49250926","41.53232468","42.53287531","42.02477778","40.95549431","39.77285755","37.85357111","36.34428882","35.36520462","46.35275711","48.61417945","38.91474175","36.42020548","34.72700612","33.39834655","32.33768906","31.321896","30.83561428","30.34404019"
"IMF.FAD:FM(2.0.0)","AND.G_X_G01_GDP_PT.A","OBS_VALUE","Andorra, Principality of","Expenditure, Percent of GDP","Annual","Units","","","","","","","","","","","","24.99982755","24.21554556","23.69025482","23.38669543","25.18918994","27.6021941","29.46052131","29.91578952","28.84958953","29.10933349","33.93475784","31.96223864","31.66205585","33.32856851","34.5676102","34.85232386","35.93004877","35.84437202","42.3356775","39.04389825","34.88862014","36.52325778","36.1876824","36.79058324","36.8102474","36.91040441","37.05269249","36.99262426"
"IMF.FAD:FM(2.0.0)","ARE.GGR_G01_GDP_PT.A","OBS_VALUE","United Arab Emirates","Revenue, General government, Percent of GDP","Annual","Units","39.8537347","32.90154114","28.60559579","28.34414351","29.72666676","28.52082063","29.27309892","26.83905884","25.58619759","32.44856842","26.43377907","20.09491784","22.40159967","24.1091011","31.73094066","35.77725562","34.78279089","39.58866104","28.87034322","31.64557159","35.45897254","37.1530991","37.74388466","34.03881433","20.68342848","29.72334015","27.97179799","30.46121337","31.03913906","28.66245829","30.42276876","32.8243785","32.19600296","31.15584823","30.72352444","30.35616791","29.9444537","29.61086418","29.30053734"
"IMF.FAD:FM(2.0.0)","ARE.GGXCNL_G01_GDP_PT.A","OBS_VALUE","United Arab Emirates","Net lending (+) / net borrowing (-), Percent of GDP","Annual","Units","","3.337217598","-2.885747835","-1.783644188","3.582603649","0.916731715","6.711355502","0.995933005","1.306052278","10.66035757","1.205320945","-1.237839317","2.351605961","6.400208212","15.98714404","20.15002895","17.12593107","17.6379329","-6.126634178","0.531696289","5.165950957","8.770936922","8.182847618","1.78883925","-6.555079795","-3.051305454","-0.164332734","3.769505801","2.590181227","-2.468289203","4.032642383","9.888664306","6.250464817","4.526607645","4.014860775","3.735197849","3.517296593","3.326934364","3.120059773"
"IMF.FAD:FM(2.0.0)","ARE.GGXONLB_G01_GDP_PT.A","OBS_VALUE","United Arab Emirates","Primary net lending (+) / net borrowing (-), Percent of GDP","Annual","Units","","3.600115959","-2.86990763","-1.782939561","3.586201977","0.923693204","6.711955257","0.997147443","1.307224793","10.72792922","1.298193603","-1.209839331","2.356266975","6.455929691","16.02413418","20.15143301","17.13283717","17.67096605","-5.949815415","0.8467906","5.344523785","9.076764435","8.584841962","2.056771882","-6.349867948","-2.904619206","-0.0301","4.003084112","2.885491569","-2.170072973","4.334035092","10.39930413","6.898829082","5.200715958","4.69968333","4.450377813","4.197701339","4.002059071","3.788211607"
"IMF.FAD:FM(2.0.0)","ARE.G_XWDG_G01_GDP_PT.A","OBS_VALUE","United Arab Emirates","Gross debt, Percent of GDP","Annual","Units","","","","","","","","","","3.119891368","2.689682565","3.427148079","3.331996202","4.080081226","4.481521598","5.051654759","8.891665103","8.949441877","21.13611135","18.79856233","20.86234868","20.65722054","15.61111384","13.81865058","16.10445954","19.26704953","21.86356001","21.32918912","26.8010744","41.08581434","35.88515379","31.08212282","30.85826595","30.27061609","30.31891861","30.09564313","29.74638527","29.30135657","28.79609155"
"IMF.FAD:FM(2.0.0)","ARE.G_X_G01_GDP_PT.A","OBS_VALUE","United Arab Emirates","Expenditure, Percent of GDP","Annual","Units","","29.56432354","31.49134362","30.12778769","26.14406311","27.60408892","22.56174342","25.84312583","24.28014531","21.78821085","25.22845813","21.33275715","20.04999371","17.70889289","15.74379662","15.62722667","17.65685982","21.95072814","34.9969774","31.1138753","30.29302159","28.38216217","29.56103705","32.24997508","27.23850828","32.7746456","28.13613073","26.69170757","28.44895784","31.13074749","26.39012638","22.93571419","25.94553815","26.62924059","26.70866367","26.62097006","26.4271571","26.28392982","26.18047757"
